Principle,Clustering,Controllability,Foundational,Personal Data,Agency,User,Portability,Sustainability,Security,Usability,Flexibility,Autonomy,Technology,Operability,Zero-cost,Acceptance,Adoption,Compliance,Privacy
Access and availability,4,,3,,1,,3,,2,1,,,,1,,,,,
Existence and persistence,2,4,3,1,1,,,,,,,,,,,,,,
Security and protection,0,,,1,,,,,8,,,,,,,,,1,
Interoperability,3,,,,,,3,1,,1,2,1,1,,,,1,1,
Ownership and control,2,5,3,,,1,,,,,,,,,,,,,
Persistence,0,1,1,1,,,,,5,,,,,,,,1,,
Cost,3,,,,,,,3,,,,,,1,1,,1,,
Standard,3,,,,,,,3,,,,,1,,,1,1,,
Usability and consistency,1,1,,,1,,,,,1,,,,,,,,,
Transparency,3,,,,,,3,3,1,1,,,,,,,1,,
Consent,2,5,1,1,,,,,,,,1,,,,,,,1
Decentralization and Autonomy,1,1,1,,,,,,,,,1,,1,,,,,
Privacy and minimal disclosure,0,2,1,1,,1,,,4,,1,,,,,,,,
Verifiability and Authenticity,1,,,,,,,,2,,,,,,,,,,
Portability,3,,,1,,,2,1,,,2,1,1,,,,1,,
